ckpt,CA,ASR,trigger_size,trigger_value,target_label,kind,seed,epochs,poison_rate
/mnt/backdoor_badnets/results/runs/bd_p0.05_t9_s3_seed42.pt,0.8532,0.9444444444444444,3,1.0,9,backdoor,42,50,0.05
/mnt/backdoor_badnets/results/runs/bd_p0.05_t9_s5_seed42.pt,0.8575,0.9594444444444444,5,1.0,9,backdoor,42,50,0.05
